kepid,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_quarters
10797460,CONFIRMED,9.488035570,2.7750000e-05,-2.7750000e-05,170.5387500,2.160000e-03,-2.160000e-03,2.95750,0.08190,-0.08190,11111111111111111000000000000000
10797460,CONFIRMED,54.418382700,2.4790000e-04,-2.4790000e-04,162.5138400,3.520000e-03,-3.520000e-03,4.50700,0.11600,-0.11600,11111111111111111000000000000000
10811496,CANDIDATE,19.899139950,1.4940000e-05,-1.4940000e-05,175.8502520,5.810000e-04,-5.810000e-04,1.78220,0.03410,-0.03410,11111101110111011000000000000000
10848459,FALSE POSITIVE,1.736952453,2.6300000e-07,-2.6300000e-07,170.3075650,1.150000e-04,-1.150000e-04,2.40641,0.00537,-0.00537,11111110111011101000000000000000
10854555,CONFIRMED,2.525591777,3.7610000e-06,-3.7610000e-06,171.5955500,1.130000e-03,-1.130000e-03,1.65450,0.04200,-0.04200,01111111111111111000000000000000
10872983,CONFIRMED,11.094320540,2.0360000e-05,-2.0360000e-05,171.2011600,1.410000e-03,-1.410000e-03,4.59450,0.06100,-0.06100,01111101110111011000000000000000
10872983,CONFIRMED,4.134435120,1.0460000e-05,-1.0460000e-05,172.9793700,1.900000e-03,-1.900000e-03,3.14020,0.06730,-0.06730,01111101110111011000000000000000
10872983,CONFIRMED,2.566588970,1.7810000e-05,-1.7810000e-05,179.5543700,4.610000e-03,-4.610000e-03,2.42900,0.16500,-0.16500,01111101110111011000000000000000
6721123,FALSE POSITIVE,7.361789580,2.1280000e-05,-2.1280000e-05,132.2505300,2.530000e-03,-2.530000e-03,5.02200,0.13600,-0.13600,11111111111111111000000000000000
10910878,CONFIRMED,16.068646740,1.0880000e-05,-1.0880000e-05,173.6219370,5.170000e-04,-5.170000e-04,3.53470,0.02410,-0.02410,11111110111011101000000000000000
11446443,CONFIRMED,2.470613377,2.7000000e-08,-2.7000000e-08,122.7633050,8.700000e-06,-8.700000e-06,1.74319,0.00107,-0.00107,11111110111011101000000000000000
10666592,CONFIRMED,2.204735417,4.3000000e-08,-4.3000000e-08,121.3585417,1.600000e-05,-1.600000e-05,3.88864,0.00203,-0.00203,11111111111111111000000000000000
6922244,CONFIRMED,3.522498429,1.9800000e-07,-1.9800000e-07,121.1194228,4.710000e-05,-4.710000e-05,3.19843,0.00653,-0.00653,11111111111111111000000000000000
10984090,CONFIRMED,3.709214104,6.5360000e-06,-6.5360000e-06,133.9831800,1.430000e-03,-1.430000e-03,2.63020,0.04270,-0.04270,11111111111111111000000000000000
10419211,FALSE POSITIVE,11.521446064,1.9800000e-06,-1.9800000e-06,170.8396880,1.310000e-04,-1.310000e-04,3.63990,0.01140,-0.01140,11111101110111011000000000000000
10464078,FALSE POSITIVE,19.403937760,2.0680000e-05,-2.0680000e-05,172.4842530,8.420000e-04,-8.420000e-04,12.21550,0.05980,-0.05980,11111111111111111000000000000000
10480982,FALSE POSITIVE,19.221388942,1.1230000e-06,-1.1230000e-06,184.5521637,4.500000e-05,-4.500000e-05,4.79843,0.00235,-0.00235,11111101110111011000000000000000
10485250,FALSE POSITIVE,16.469837740,1.3610000e-05,-1.3610000e-05,180.8817610,6.230000e-04,-6.230000e-04,9.43780,0.06000,-0.06000,01111101110111011000000000000000
10526549,CONFIRMED,9.273581730,1.0370000e-05,-1.0370000e-05,173.2581550,8.770000e-04,-8.770000e-04,3.28750,0.03090,-0.03090,11111111111111111000000000000000
10583066,CONFIRMED,6.029303290,5.5090000e-06,-5.5090000e-06,171.6029590,7.130000e-04,-7.130000e-04,1.58210,0.03110,-0.03110,11111111111111111000000000000000
10583180,FALSE POSITIVE,2.696370652,7.5340000e-06,-7.5340000e-06,170.7376900,2.340000e-03,-2.340000e-03,3.61290,0.06860,-0.06860,11111111111111111000000000000000
10601284,CONFIRMED,5.349553819,8.8340000e-06,-8.8340000e-06,171.8069400,1.270000e-03,-1.270000e-03,3.02780,0.04710,-0.04710,11111111111111111000000000000000
10601284,CONFIRMED,3.941052210,1.0940000e-05,-1.0940000e-05,136.0866200,2.330000e-03,-2.330000e-03,2.59840,0.07370,-0.07370,11111111111111111000000000000000
10601284,CONFIRMED,8.109048070,6.7870000e-05,-6.7870000e-05,132.8031000,7.160000e-03,-7.160000e-03,3.59600,0.19800,-0.19800,11111111111111111000000000000000
