name,mission,star_id,ra,dec,dist_pc,disposition,probability,radius_earth,period_days,top_reasons
K00752.01,Kepler,10797460,291.93423,48.141651,1014.04,CONFIRMED,0.9781405152127947,2.26,9.48803557,log_prad:+2.39;duration_ratio:+0.94;log_depth:+0.87
K00752.02,Kepler,10797460,291.93423,48.141651,1014.04,CONFIRMED,0.9889728493217896,2.83,54.4183827,log_prad:+2.50;log_depth:+1.22;duration_ratio:+0.94
K00753.01,Kepler,10811496,297.00482,48.134129,1090.2,CANDIDATE,0.044063631791991915,14.6,19.89913995,log_prad:-1.60;log_period:+0.20;duration_ratio:+0.17
K00754.01,Kepler,10848459,285.53461,48.28521,1031.94,FALSE POSITIVE,0.0018310063439809423,33.46,1.736952453,log_prad:-2.00;duration_ratio:-1.24;log_insol:-0.24
K00755.01,Kepler,10854555,288.75488,48.2262,1459.17,CONFIRMED,0.864701377215165,2.75,2.525591777,log_prad:+2.06;duration_ratio:+1.50;log_period:+0.88
K00756.01,Kepler,10872983,296.28613,48.22467,1435.0,CONFIRMED,0.911032639020265,3.9,11.09432054,log_prad:+2.29;log_period:+0.78;duration_ratio:+0.77
K00756.02,Kepler,10872983,296.28613,48.22467,1435.0,CONFIRMED,0.9174321838366057,2.77,4.13443512,log_prad:+2.43;log_depth:+0.91;log_period:+0.85
K00756.03,Kepler,10872983,296.28613,48.22467,1435.0,CONFIRMED,0.555711708409425,1.59,2.56658897,log_prad:+1.75;log_period:+0.86;duration_ratio:+0.42
K00114.01,Kepler,6721123,298.86435,42.151569,791.44,FALSE POSITIVE,0.0013663612999037101,39.21,7.36178958,log_prad:-2.50;duration_ratio:-1.36;koi_steff:-0.48
K00757.01,Kepler,10910878,286.99948,48.37579,963.24,CONFIRMED,0.9825522159971932,5.76,16.06864674,log_prad:+1.88;duration_ratio:+1.38;log_depth:+1.01
K00001.01,Kepler,11446443,286.80847,49.316399,198.51,CONFIRMED,0.9303386347586653,13.04,2.470613377,log_prad:+1.91;duration_ratio:+1.55;log_depth:+0.79
K00002.01,Kepler,10666592,292.24728,47.969521,324.82,CONFIRMED,0.41890203556103517,16.1,2.204735417,duration_ratio:+1.17;koi_steff:-1.12;log_depth:+0.75
K00010.01,Kepler,6922244,281.28812,42.45108,918.89,CONFIRMED,0.896496437946934,14.59,3.522498429,duration_ratio:+1.36;log_depth:+1.15;koi_srad:+1.04
K00112.02,Kepler,10984090,295.64871,48.49556,407.34,CONFIRMED,0.747510348599855,1.16,3.709214104,duration_ratio:+1.29;log_prad:+1.23;log_period:+0.79
K00742.01,Kepler,10419211,297.07993,47.597401,1049.62,FALSE POSITIVE,0.0038194335284246323,150.51,11.521446064,log_prad:-3.14;duration_ratio:-1.24;log_period:+0.25
K00743.01,Kepler,10464078,289.25821,47.635319,632.17,FALSE POSITIVE,0.008231981451287907,7.18,19.40393776,duration_ratio:-2.84;log_prad:+0.83;koi_srad:-0.73
K00744.01,Kepler,10480982,295.81454,47.69035,1213.78,FALSE POSITIVE,0.0003371495407158655,49.29,19.221388942,log_prad:-2.47;log_depth:-2.44;duration_ratio:-1.06
K00745.01,Kepler,10485250,297.15442,47.668701,826.38,FALSE POSITIVE,0.04170072129149033,7.94,16.46983774,duration_ratio:-1.55;log_prad:+0.75;log_period:+0.32
K00746.01,Kepler,10526549,288.13824,47.724449,546.32,CONFIRMED,0.974032758157947,2.47,9.27358173,log_prad:+2.18;duration_ratio:+1.10;log_period:+0.70
K00747.01,Kepler,10583066,283.71088,47.86327,566.45,CONFIRMED,0.9356252584622006,2.85,6.02930329,log_prad:+2.24;koi_steff:+1.02;log_period:+0.88
K00748.01,Kepler,10583180,283.76547,47.804298,691.48,FALSE POSITIVE,0.898913763829301,1.58,2.696370652,log_prad:+1.55;koi_steff:+0.56;log_depth:+0.49
K00749.01,Kepler,10601284,292.37613,47.880989,949.93,CONFIRMED,0.9585013025046132,2.55,5.349553819,log_prad:+2.27;duration_ratio:+1.09;log_depth:+1.00
K00749.02,Kepler,10601284,292.37613,47.880989,949.93,CONFIRMED,0.8540397864411785,1.7,3.94105221,log_prad:+1.69;duration_ratio:+0.94;koi_slogg:-0.82
K00749.03,Kepler,10601284,292.37613,47.880989,949.93,CONFIRMED,0.8808326260809693,1.3,8.10904807,log_prad:+1.41;duration_ratio:+1.02;koi_slogg:-0.80
K00113.01,Kepler,2306756,292.27374,37.671558,460.03,FALSE POSITIVE,0.004210547006853193,41.5,386.6030528,log_prad:-2.60;log_period:-1.25;koi_srad:+0.78
K00750.01,Kepler,10662202,290.46512,47.92918,714.13,CONFIRMED,0.9904435292488345,2.95,21.67699193,log_prad:+2.69;log_depth:+1.01;log_period:+0.85
K00751.01,Kepler,10682541,297.80826,47.946671,1055.29,CONFIRMED,0.9721887072373421,2.78,4.99677968,log_prad:+2.34;duration_ratio:+1.17;log_depth:+0.91
K00769.01,Kepler,11460018,294.26581,49.314091,953.19,CONFIRMED,0.974386812770695,2.3,4.280963604,log_prad:+2.30;log_depth:+1.04;duration_ratio:+0.95
K00770.01,Kepler,11463211,295.66522,49.351009,1028.29,FALSE POSITIVE,0.07687645944327938,4.53,1.50635409,log_prad:+1.47;log_insol:-0.70;log_period:-0.44
K00771.01,Kepler,11465813,296.69861,49.316479,906.34,FALSE POSITIVE,0.1339877434938559,14.14,670.645531,duration_ratio:-1.30;log_period:-0.95;log_depth:+0.48
K00772.01,Kepler,11493732,283.72592,49.479519,1449.11,FALSE POSITIVE,0.005256468427816979,39.87,61.2563628,log_prad:-2.61;duration_ratio:-1.33;koi_srad:+0.43
K00773.01,Kepler,11507101,291.72202,49.480869,1079.54,CONFIRMED,0.9788431244526198,2.82,38.3775486,log_prad:+2.42;duration_ratio:+1.14;log_depth:+1.02
K00757.02,Kepler,10910878,286.99948,48.37579,963.24,CONFIRMED,0.9905118412219188,3.86,41.19725502,log_prad:+2.22;duration_ratio:+1.05;log_depth:+0.97
K00757.03,Kepler,10910878,286.99948,48.37579,963.24,CONFIRMED,0.9912270540639984,2.65,6.252962249,log_prad:+2.21;duration_ratio:+0.96;log_period:+0.77
K00758.01,Kepler,10987985,297.02563,48.478588,731.91,CONFIRMED,0.973355309787164,3.1,16.01308419,log_prad:+2.53;duration_ratio:+1.23;log_period:+0.90
K00759.01,Kepler,11018648,285.71854,48.505859,796.32,CONFIRMED,0.9669121319710288,3.36,32.62876672,log_prad:+2.15;duration_ratio:+1.06;log_depth:+0.60
K00759.02,Kepler,11018648,285.71854,48.505859,796.32,CONFIRMED,0.8739242567533013,2.12,91.7732862,log_prad:+1.90;duration_ratio:+1.14;log_depth:+1.00
K00760.01,Kepler,11138155,292.16705,48.727589,1267.15,CONFIRMED,0.9000431728909164,12.21,4.959319244,log_prad:+1.74;duration_ratio:+1.37;log_period:+0.66
K00761.01,Kepler,11152159,297.92365,48.777321,1003.68,FALSE POSITIVE,0.08296967195563226,6.54,2.701287801,duration_ratio:-2.82;log_prad:+0.97;log_depth:+0.46
K00762.01,Kepler,11153539,298.45685,48.791592,1229.57,CONFIRMED,0.7652202505205404,2.1,4.49876511,log_prad:+1.87;log_period:+0.96;koi_steff:-0.74
K00763.01,Kepler,11242721,291.0939,48.933842,1452.01,FALSE POSITIVE,0.5936286708312088,12.42,19.651209505,koi_steff:-0.99;log_prad:+0.90;log_period:+0.43
K00115.01,Kepler,9579641,287.88733,46.276241,450.99,CONFIRMED,0.9881535667539145,2.94,5.412203927,log_prad:+2.31;log_period:+0.92;log_depth:+0.72
K00764.01,Kepler,11304958,295.55505,49.017342,1073.89,CONFIRMED,0.7503628627336212,5.5,41.43958662,log_prad:+1.63;log_insol:+0.46;log_depth:+0.45
K00765.01,Kepler,11391957,285.49924,49.277351,852.33,CONFIRMED,0.948640641170281,2.52,8.35389523,log_prad:+2.26;duration_ratio:+0.72;log_period:+0.60
