kepoi_name,kepler_name,kepid,probability,score,rank,top_reasons
K01628.03,,6975129,1.0,0.9985575337183232,1,n_kois_on_star=3 (+2.045); koi_model_snr=23.7 (+1.329); log_prad=0.246 (+1.183)
K01861.01,,3648437,1.0,0.9984473541505849,2,log_prad=0.551 (+1.595); koi_model_snr=47.5 (+1.205); log_depth=2.86 (+1.080)
K01590.01,,5542466,1.0,0.9982248633948401,3,n_kois_on_star=3 (+1.764); log_prad=0.286 (+1.528); duration_ratio=0.951 (+1.178)
K00935.04,,9347899,1.0,0.9981891299809351,4,n_kois_on_star=4 (+2.516); log_prad=0.288 (+1.263); duration_ratio=0.832 (+1.066)
K01574.03,,10028792,1.0,0.9981152909250391,5,n_kois_on_star=4 (+2.629); log_prad=0.297 (+1.270); duration_ratio=0.889 (+1.173)
K01803.01,,4349442,1.0,0.9979907656732508,6,log_prad=0.369 (+2.241); n_kois_on_star=3 (+2.076); log_depth=2.9 (+1.010)
K04032.05,,7100673,1.0,0.9974212573102778,7,n_kois_on_star=5 (+2.381); duration_ratio=0.714 (+1.293); log_prad=-0.0862 (+1.133)
K02037.02,,9634821,1.0,0.997187291916203,8,n_kois_on_star=3 (+1.963); log_prad=0.336 (+1.469); duration_ratio=0.454 (+0.884)
K01856.01,,11570749,1.0,0.996435090386975,9,koi_model_snr=55 (+1.348); log_depth=2.93 (+1.047); log_prad=0.636 (+1.043)
K02037.03,,9634821,1.0,0.9962682670858488,10,n_kois_on_star=3 (+1.925); log_prad=0.354 (+1.464); log_depth=2.78 (+0.855)
K03936.01,,4947556,1.0,0.9959021971795126,11,log_prad=0.474 (+1.463); koi_model_snr=43.3 (+1.186); duration_ratio=0.992 (+1.104)
K02449.01,,12208631,1.0,0.9958453612944959,12,log_prad=0.533 (+1.796); n_kois_on_star=2 (+1.117); log_depth=2.87 (+0.900)
K02220.04,,6871071,1.0,0.9957154371137303,13,n_kois_on_star=5 (+2.375); log_prad=0.204 (+1.250); duration_ratio=0.688 (+1.014)
K01194.02,,3554031,1.0,0.9955169545222595,14,n_kois_on_star=3 (+1.918); log_prad=0.196 (+1.526); log_depth=2.92 (+0.815)
K01972.01,,11253711,1.0,0.9951710693971906,15,log_prad=0.459 (+1.619); n_kois_on_star=2 (+1.285); koi_model_snr=39.8 (+1.077)
K02174.01,,8261920,1.0,0.9951307374595508,16,n_kois_on_star=4 (+2.394); log_prad=0.387 (+2.037); koi_model_snr=23.4 (+1.017)
K02926.05,,10122538,1.0,0.9945432605952,17,n_kois_on_star=5 (+2.214); log_prad=0.54 (+1.506); koi_steff=3.89e+03 (+0.876)
K06132.01,,5629353,1.0,0.9945117291172495,18,n_kois_on_star=3 (+2.022); duration_ratio=0.75 (+1.201); koi_model_snr=84.5 (+1.184)
K00525.01,,9119458,1.0,0.9941403976223591,19,log_prad=0.6 (+1.344); koi_model_snr=57.6 (+1.293); duration_ratio=0.382 (+0.825)
K01145.01,,8313667,1.0,0.9934580149743484,20,log_prad=0.365 (+1.434); koi_model_snr=33.1 (+1.138); duration_ratio=0.881 (+1.054)
K01397.01,,9427402,0.9468745204455157,0.9932677406807958,21,log_prad=0.276 (+1.743); duration_ratio=0.725 (+1.147); koi_model_snr=44.8 (+1.050)
